"","p.value","HR","Low 95%CI","High 95%CI"
"CBLL1",0.105297389756877,0.670326144210087,0.413122069106826,1.08766191209062
"METTL3",0.0226895309574054,1.96946245766348,1.09941995088416,3.52802618237602
"METTL14",0.0420304923736352,0.51386277087635,0.270465638876489,0.976297574766247
"METTL16",0.0357156441873059,0.562601038912569,0.328908652524566,0.962333847273483
"RBM15",0.697212920337114,1.08116713838685,0.729730302956282,1.60185533805033
"RBM15B",0.0184410786760931,0.647062762181968,0.450520829513232,0.92934708180959
"WTAP",0.0330150274277345,1.73094329317456,1.0452432457532,2.86647600580951
"ZC3H13",0.824696274577033,1.03651302537396,0.754684542781284,1.42358719553269
"ZCCHC4",0.210736247525636,1.37504776889321,0.835039379532121,2.26427209672147
"ALKBH5",0.751574492924738,0.923361798722833,0.563607292300156,1.51275014178952
"FTO",0.930014200635601,1.01655456620518,0.704694190129639,1.46642784990537
"HNRNPA2B1",0.027086318960314,0.755815043595661,0.589657998225496,0.96879272704625
"HNRNPC",0.10445863364572,1.81314730432907,0.884020405294496,3.71880912194624
"YTHDC1",0.290573529723103,0.760080931844274,0.456997025107434,1.26417239328296
"YTHDC2",5.64224245195562e-06,0.290583186097514,0.170422439625521,0.49546637302062
"YTHDF1",0.0257906637212383,0.570945198913143,0.348819682955015,0.934518423388417
"YTHDF2",0.063383030915553,0.45895548329679,0.20169281030312,1.04436115165248
"YTHDF3",0.713700671907322,0.857740607430212,0.377865513310252,1.94703915472349
"IGF2BP3",0.0163940219982687,1.10970721541569,1.01927001312826,1.20816867766587
"IGF2BP2",0.853909440058055,1.02561202332225,0.783565973885282,1.34242687589847
"IGF2BP1",0.0616417573362832,1.07754929175627,0.99636579629519,1.16534758668136
